nm	radiance
199.5	5
200.5	7
201.5	7
202.5	8
203.5	9
204.5	9
205.5	10
206.5	10
207.5	11
208.5	15
209.5	24
210.5	28
211.5	34
212.5	30
213.5	32
214.5	41
215.5	37
216.5	34
217.5	36
218.5	45
219.5	48
220.5	48
221.5	39
222.5	51
223.5	66
224.5	58
225.5	54
226.5	41
227.5	41
228.5	54
229.5	48
230.5	56
231.5	50
232.5	55
233.5	46
234.5	39
235.5	57
236.5	49
237.5	53
238.5	42
239.5	46
240.5	43
241.5	52
242.5	72
243.5	65
244.5	62
245.5	51
246.5	51
247.5	57
248.5	45
249.5	58
250.5	59
251.5	47
252.5	44
253.5	55
254.5	61
255.5	89
256.5	107
257.5	129
258.5	134
259.5	108
260.5	102
261.5	103
262.5	121
263.5	175
264.5	274
265.5	280
266.5	260
267.5	270
268.5	260
269.5	252
270.5	293
271.5	232
272.5	215
273.5	204
274.5	137
275.5	200
276.5	258
277.5	240
278.5	166
279.5	89
280.5	112
281.5	231
282.5	307
283.5	330
284.5	244
285.5	141
286.5	320
287.5	371
288.5	307
289.5	456
290.5	623
291.5	600
292.5	545
293.5	545
294.5	509
295.5	548
296.5	492
297.5	531
298.5	413
299.5	485
300.5	403
301.5	445
302.5	484
303.5	631
304.5	610
305.5	580
306.5	575
307.5	645
308.5	613
309.5	484
310	495
310.4	507
310.8	588
311.2	707
311.6	747
312	707
312.4	644
312.8	663
313.2	710
313.6	691
314	689
314.4	722
314.8	673
315.2	695
315.6	765
316	675
316.4	569
316.8	623
317.2	749
317.6	830
318	813
318.4	673
318.8	642
319.2	768
319.6	759
320	712
320.4	778
320.8	844
321.2	847
321.6	736
322	695
322.4	773
322.8	758
323.2	646
323.6	603
324	604
324.4	618
324.8	654
325.2	646
325.6	682
326	852
326.4	1049
326.8	1111
327.2	1108
327.6	1050
328	965
328.4	914
328.8	913
329.2	952
329.6	1043
330	1144
330.4	1137
330.5	1006
331.5	968
332.5	921
333.5	905
334.5	940
335.5	982
336.5	765
337.5	866
338.5	916
339.5	937
340.5	992
341.5	936
342.5	995
343.5	985
344.5	719
345.5	967
346.5	919
347.5	902
348.5	948
349.5	865
350.5	1119
351.5	993
352.5	871
353.5	1115
354.5	1133
355.5	1058
356.5	938
357.5	891
358.5	627
359.5	1136
360.5	979
361.5	894
362.5	1175
363.5	958
364.5	1015
365.5	1263
366.5	1249
367.5	1214
368.5	1088
369.5	1331
370.5	1075
371.5	1307
372.5	1065
373.5	838
374.5	878
375.5	1141
376.5	1101
377.5	1291
378.5	1341
379.5	1000
380.5	1289
381.5	1096
382.5	733
383.5	684
384.5	1027
385.5	954
386.5	1071
387.5	966
388.5	912
389.5	1227
390.5	1223
391.5	1398
392.5	955
393.5	489
394.5	1101
395.5	1378
396.5	650
397.5	1040
398.5	1538
399.5	1655
400.5	1649
401.5	1796
402.5	1803
