nm	SMARTS_Gueymard
280	0.082
280.5	0.099
281	0.15
281.5	0.212
282	0.267
282.5	0.303
283	0.325
283.5	0.323
284	0.299
284.5	0.25024
285	0.17589
285.5	0.155
286	0.242
286.5	0.333
287	0.362
287.5	0.339
288	0.311
288.5	0.325
289	0.392
289.5	0.479
290	0.563
290.5	0.606
291	0.618
291.5	0.598
292	0.567
292.5	0.529
293	0.538
293.5	0.549
294	0.533
294.5	0.52
295	0.527
295.5	0.559
296	0.573
296.5	0.521
297	0.478
297.5	0.529
298	0.528
298.5	0.468
299	0.472
299.5	0.501
300	0.45794
300.5	0.433
301	0.463
301.5	0.47756
302	0.449
302.5	0.508
303	0.612
303.5	0.646
304	0.621
304.5	0.626
305	0.642
305.5	0.611
306	0.565
306.5	0.575
307	0.605
307.5	0.631
308	0.645
308.5	0.6405
309	0.58
309.5	0.5
310	0.533
310.5	0.652
311	0.762
311.5	0.744
312	0.70615
312.5	0.676
313	0.694
313.5	0.724
314	0.717
314.5	0.676
315	0.6845
315.5	0.632
316	0.587
316.5	0.649
317	0.739
317.5	0.80189
318	0.72361
318.5	0.68
319	0.7058
319.5	0.73318
320	0.775
320.5	0.826
321	0.76546
321.5	0.719
322	0.73513
322.5	0.71152
323	0.649
323.5	0.68138
324	0.7405
324.5	0.788
325	0.82918
325.5	0.91377
326	0.99835
326.5	1.01659
327	1.00466
327.5	0.98679
328	0.95681
328.5	0.934
329	1.00459
329.5	1.09581
330	1.10975
330.5	1.04288
331	0.991
331.5	0.99396
332	0.99277
332.5	0.98003
333	0.96394
333.5	0.937
334	0.95557
334.5	0.98862
335	1.00972
335.5	0.97453
336	0.88979
336.5	0.829
337	0.818
337.5	0.87732
338	0.92529
338.5	0.95783
339	0.96863
339.5	0.989
340	1.0544
340.5	1.0463
341	0.971
341.5	0.959
342	0.9957
342.5	1.02774
343	1.04175
343.5	0.98301
344	0.85416
344.5	0.813
345	0.91583
345.5	0.97021
346	0.94269
346.5	0.95594
347	0.96954
347.5	0.93318
348	0.92472
348.5	0.93721
349	0.899
349.5	0.91969
350	1.0122
350.5	1.08492
351	1.05345
351.5	1.01286
352	0.98383
352.5	0.926
353	0.98012
353.5	1.0752
354	1.1346
354.5	1.144
355	1.14058
355.5	1.09638
356	1.025
356.5	0.95914
357	0.842
357.5	0.85015
358	0.78916
358.5	0.731
359	0.85805
359.5	1.0321
360	1.089
360.5	1.02651
361	0.9415
361.5	0.918
362	0.958
362.5	1.045
363	1.07096
363.5	1.038
364	1.07164
364.5	1.059
365	1.097
365.5	1.20415
366	1.286
366.5	1.28432
367	1.25772
367.5	1.23168
368	1.157
368.5	1.14588
369	1.19438
