##pix	wave	b0	h	c	g
1	512.6	1.191	0.0727	-0.098	0.228
2	518.4	1.211	0.0764	-0.086	0.229
3	524.7	1.201	0.0764	-0.111	0.227
4	530.4	1.184	0.0743	-0.089	0.23
5	536.5	1.202	0.0793	-0.075	0.228
6	542.8	1.198	0.0791	-0.086	0.227
7	548.7	1.168	0.0771	-0.1	0.227
8	554.5	1.159	0.0774	-0.116	0.225
9	560.5	1.168	0.0797	-0.108	0.223
10	566.7	1.153	0.0776	-0.086	0.228
11	572.6	1.145	0.0789	-0.094	0.226
12	578.5	1.121	0.0756	-0.131	0.224
13	584.5	1.127	0.0779	-0.115	0.223
14	590.6	1.138	0.0803	-0.106	0.223
15	596.7	1.136	0.0823	-0.116	0.22
16	602.5	1.125	0.0818	-0.145	0.217
17	608.6	1.111	0.0815	-0.151	0.217
18	614.6	1.098	0.0799	-0.142	0.219
19	620.5	1.104	0.0825	-0.144	0.216
20	626.7	1.104	0.0827	-0.161	0.214
21	632.7	1.097	0.0832	-0.162	0.214
22	638.6	1.092	0.085	-0.161	0.213
23	644.6	1.087	0.085	-0.183	0.21
24	650.6	1.074	0.084	-0.16	0.213
25	656.6	1.071	0.0855	-0.198	0.209
26	662.6	1.055	0.0824	-0.167	0.213
27	668.8	1.058	0.0836	-0.177	0.211
28	674.7	1.046	0.0824	-0.183	0.211
29	680.6	1.039	0.0836	-0.195	0.209
30	686.7	1.031	0.0823	-0.196	0.209
31	692.6	1.028	0.083	-0.197	0.209
32	698.6	1.035	0.0862	-0.228	0.204
33	704.7	1.029	0.0861	-0.228	0.204
34	710.8	1.028	0.0874	-0.242	0.201
35	716.7	1.021	0.0874	-0.24	0.201
36	722.7	1.022	0.0886	-0.235	0.201
37	728.7	1.023	0.0908	-0.25	0.198
38	734.7	1.026	0.093	-0.246	0.197
39	740.7	1.018	0.0919	-0.263	0.196
40	746.8	1.003	0.0903	-0.247	0.198
41	752.8	0.997	0.0892	-0.253	0.199
42	758.7	0.98	0.087	-0.236	0.202
43	764.8	0.979	0.0881	-0.238	0.201
44	770.7	0.978	0.0898	-0.241	0.2
45	776.7	0.978	0.0903	-0.258	0.198
46	782.7	0.965	0.0891	-0.242	0.2
47	788.8	0.957	0.0887	-0.241	0.201
48	794.7	0.959	0.0901	-0.248	0.2
49	800.7	0.94	0.0866	-0.223	0.204
50	806.8	0.938	0.0866	-0.23	0.204
51	812.7	0.939	0.0884	-0.229	0.203
52	818.7	0.937	0.0906	-0.234	0.202
53	824.8	0.927	0.0873	-0.221	0.204
54	830.8	0.913	0.0848	-0.206	0.207
55	836.8	0.916	0.0846	-0.216	0.206
56	842.8	0.917	0.087	-0.22	0.204
57	848.8	0.919	0.0872	-0.212	0.205
58	854.6	0.916	0.0864	-0.241	0.202
59	860.7	0.922	0.0894	-0.233	0.2
60	866.7	0.917	0.0897	-0.235	0.201
61	872.7	0.909	0.0881	-0.234	0.201
62	878.7	0.912	0.0883	-0.232	0.201
63	884.6	0.901	0.0874	-0.212	0.203
64	890.7	0.911	0.0882	-0.233	0.2
65	896.6	0.906	0.09	-0.213	0.201
66	902.7	0.918	0.093	-0.225	0.198
67	908.7	0.908	0.0904	-0.214	0.2
68	914.6	0.905	0.0911	-0.199	0.201
69	920.6	0.898	0.089	-0.205	0.202
70	926.6	0.897	0.0905	-0.191	0.202
71	932.6	0.898	0.0912	-0.198	0.201
72	938.6	0.892	0.0903	-0.184	0.202
73	944.6	0.898	0.0921	-0.19	0.2
94	955.4	0.883	0.0871	-0.165	0.205
95	963.5	0.878	0.089	-0.188	0.203
96	971.4	0.867	0.088	-0.154	0.207
97	979.7	0.881	0.0914	-0.225	0.198
98	987.6	0.853	0.086	-0.129	0.21
99	993.7	0.889	0.0975	-0.225	0.193
100	1003.6	0.881	0.0963	-0.211	0.195
101	1013.1	0.874	0.0952	-0.199	0.196
102	1019.5	0.846	0.0892	-0.202	0.2
103	1027.7	0.867	0.0978	-0.239	0.191
104	1035.5	0.851	0.0949	-0.187	0.198
105	1043.6	0.866	0.1	-0.292	0.185
106	1051.7	0.843	0.0949	-0.206	0.196
107	1059.7	0.866	0.1036	-0.22	0.189
108	1067.8	0.855	0.1015	-0.281	0.185
109	1075.8	0.842	0.1008	-0.224	0.191
110	1083.6	0.838	0.1017	-0.273	0.186
111	1091.8	0.821	0.0971	-0.233	0.192
112	1099.7	0.826	0.1013	-0.208	0.192
113	1107.7	0.801	0.0959	-0.194	0.197
114	1115.9	0.814	0.1	-0.275	0.186
115	1123.8	0.815	0.1026	-0.235	0.188
116	1131.8	0.823	0.1069	-0.297	0.18
117	1139.7	0.814	0.1071	-0.255	0.184
118	1147.8	0.814	0.1072	-0.274	0.182
119	1155.7	0.798	0.1041	-0.262	0.186
120	1163.8	0.815	0.1102	-0.284	0.179
121	1171.8	0.8	0.1074	-0.27	0.182
122	1179.8	0.793	0.1068	-0.28	0.182
123	1187.8	0.786	0.1043	-0.261	0.184
124	1195.8	0.792	0.1088	-0.279	0.181
125	1203.9	0.775	0.1032	-0.271	0.184
126	1211.9	0.793	0.1119	-0.285	0.178
127	1219.8	0.781	0.1073	-0.298	0.179
128	1227.9	0.767	0.1052	-0.26	0.184
129	1235.9	0.761	0.1048	-0.269	0.183
130	1244	0.749	0.1019	-0.25	0.186
131	1252	0.773	0.112	-0.313	0.175
132	1259.8	0.773	0.1131	-0.284	0.176
133	1267.8	0.749	0.1065	-0.262	0.181
134	1275.9	0.766	0.112	-0.282	0.176
135	1284.2	0.757	0.1096	-0.271	0.178
136	1292	0.764	0.1143	-0.28	0.176
137	1299.8	0.745	0.1091	-0.274	0.179
138	1307.8	0.73	0.1051	-0.261	0.182
139	1315.9	0.724	0.1047	-0.256	0.182
140	1323.8	0.738	0.1106	-0.281	0.177
141	1331.8	0.727	0.1071	-0.274	0.179
142	1339.8	0.718	0.106	-0.259	0.181
143	1347.8	0.716	0.1062	-0.258	0.181
144	1355.8	0.714	0.1074	-0.271	0.179
145	1363.8	0.718	0.109	-0.274	0.177
146	1371.8	0.71	0.1078	-0.263	0.179
147	1379.8	0.707	0.1085	-0.266	0.179
148	1387.8	0.708	0.1093	-0.271	0.177
149	1395.9	0.705	0.1096	-0.268	0.177
150	1403.8	0.729	0.1191	-0.301	0.169
151	1411.8	0.706	0.1125	-0.283	0.175
152	1419.8	0.713	0.1157	-0.282	0.173
153	1427.9	0.696	0.1105	-0.284	0.176
154	1435.7	0.717	0.1188	-0.28	0.171
155	1443.8	0.694	0.1114	-0.289	0.175
156	1451.9	0.755	0.1316	-0.33	0.158
157	1459.8	0.678	0.1055	-0.243	0.181
158	1467.8	0.724	0.1234	-0.298	0.166
