##pix	wave	b0	h	c	g
1	512.6	1.743	0.0552	0.045	0.241
2	518.4	1.796	0.066	0.002	0.226
3	524.7	1.79	0.0642	0.007	0.228
4	530.4	1.764	0.0613	0.019	0.231
5	536.5	1.815	0.0717	0.005	0.219
6	542.8	1.827	0.0743	0.001	0.216
7	548.7	1.789	0.0697	-0.005	0.219
8	554.5	1.734	0.0642	0.01	0.227
9	560.5	1.762	0.0675	-0.017	0.219
10	566.7	1.797	0.0755	-0.013	0.212
11	572.6	1.758	0.0721	-0.003	0.217
12	578.5	1.702	0.0649	-0.012	0.223
13	584.5	1.723	0.0684	-0.013	0.218
14	590.6	1.77	0.0762	-0.028	0.208
15	596.7	1.737	0.0738	-0.018	0.212
16	602.5	1.699	0.0701	-0.019	0.216
17	608.6	1.696	0.0709	-0.027	0.213
18	614.6	1.707	0.0747	-0.032	0.21
19	620.5	1.682	0.0724	-0.029	0.212
20	626.7	1.689	0.0751	-0.034	0.209
21	632.7	1.688	0.076	-0.041	0.207
22	638.6	1.676	0.0742	-0.04	0.208
23	644.6	1.657	0.0735	-0.053	0.208
24	650.6	1.624	0.0697	-0.028	0.213
25	656.6	1.641	0.0743	-0.071	0.205
26	662.6	1.625	0.073	-0.048	0.208
27	668.8	1.635	0.0755	-0.066	0.203
28	674.7	1.597	0.0713	-0.054	0.209
29	680.6	1.565	0.0683	-0.036	0.214
30	686.7	1.549	0.0655	-0.033	0.217
31	692.6	1.555	0.0674	-0.039	0.214
32	698.6	1.551	0.0686	-0.053	0.211
33	704.7	1.546	0.071	-0.049	0.21
34	710.8	1.527	0.0665	-0.047	0.214
35	716.7	1.521	0.0667	-0.05	0.213
36	722.7	1.512	0.0673	-0.036	0.214
37	728.7	1.501	0.0649	-0.034	0.216
38	734.7	1.507	0.0686	-0.041	0.212
39	740.7	1.499	0.0689	-0.039	0.213
40	746.8	1.483	0.0666	-0.03	0.215
41	752.8	1.487	0.0692	-0.038	0.212
42	758.7	1.465	0.0666	-0.025	0.217
43	764.8	1.464	0.0661	-0.029	0.216
44	770.7	1.454	0.0655	-0.017	0.218
45	776.7	1.432	0.0625	0.002	0.224
46	782.7	1.433	0.0651	-0.008	0.22
47	788.8	1.425	0.0626	0.008	0.224
48	794.7	1.435	0.0655	-0.012	0.219
49	800.7	1.419	0.0619	0.006	0.224
50	806.8	1.417	0.0618	0.006	0.224
51	812.7	1.42	0.0621	0.006	0.223
52	818.7	1.422	0.0619	0.007	0.224
