##pix	wave	b0	h	c	g
1	512.6	1.723	0.0351	0.036	0.254
2	518.4	1.626	0.044	0.036	0.249
3	524.7	1.623	0.0431	0.007	0.246
4	530.4	1.611	0.0431	0.027	0.247
5	536.5	1.549	0.0518	0.038	0.243
6	542.8	1.535	0.056	0.015	0.238
7	548.7	1.534	0.0469	0.03	0.246
8	554.5	1.569	0.0417	0.013	0.247
9	560.5	1.522	0.0472	0.018	0.243
10	566.7	1.484	0.0558	0.004	0.236
11	572.6	1.476	0.052	0.002	0.238
12	578.5	1.512	0.0427	-0.005	0.243
13	584.5	1.466	0.0488	-0.004	0.239
14	590.6	1.44	0.0589	-0.017	0.23
15	596.7	1.425	0.0585	-0.017	0.231
16	602.5	1.427	0.0505	-0.015	0.236
17	608.6	1.414	0.0497	-0.007	0.238
18	614.6	1.387	0.054	-0.01	0.235
19	620.5	1.379	0.0527	-0.011	0.235
20	626.7	1.368	0.054	-0.009	0.235
21	632.7	1.359	0.0583	-0.038	0.228
22	638.6	1.347	0.0565	-0.019	0.231
23	644.6	1.347	0.0565	-0.053	0.227
24	650.6	1.343	0.0545	-0.041	0.229
25	656.6	1.333	0.0526	-0.046	0.231
26	662.6	1.319	0.057	-0.049	0.226
27	668.8	1.315	0.0597	-0.064	0.223
28	674.7	1.304	0.0594	-0.068	0.222
29	680.6	1.295	0.0549	-0.054	0.227
30	686.7	1.289	0.0542	-0.064	0.226
31	692.6	1.282	0.0553	-0.068	0.225
32	698.6	1.271	0.0585	-0.09	0.22
33	704.7	1.266	0.0575	-0.086	0.221
34	710.8	1.259	0.0579	-0.089	0.22
35	716.7	1.25	0.0576	-0.092	0.22
36	722.7	1.243	0.0575	-0.083	0.221
37	728.7	1.232	0.0564	-0.076	0.223
38	734.7	1.222	0.06	-0.09	0.219
39	740.7	1.221	0.0598	-0.1	0.218
40	746.8	1.215	0.0586	-0.098	0.218
41	752.8	1.211	0.0596	-0.101	0.217
42	758.7	1.204	0.0597	-0.103	0.217
43	764.8	1.191	0.0572	-0.081	0.222
44	770.7	1.188	0.0568	-0.092	0.221
45	776.7	1.183	0.0545	-0.08	0.224
46	782.7	1.18	0.054	-0.081	0.224
47	788.8	1.175	0.0529	-0.072	0.226
48	794.7	1.174	0.0525	-0.072	0.226
49	800.7	1.161	0.0519	-0.054	0.229
50	806.8	1.158	0.0533	-0.068	0.227
51	812.7	1.152	0.0532	-0.06	0.227
52	818.7	1.148	0.0541	-0.069	0.226
53	824.8	1.158	0.0489	-0.044	0.231
54	830.8	1.153	0.0501	-0.058	0.229
55	836.8	1.159	0.0458	-0.025	0.236
56	842.8	1.154	0.0473	-0.04	0.233
57	848.8	1.126	0.0527	-0.042	0.23
58	854.6	1.143	0.0475	-0.046	0.233
59	860.7	1.151	0.0438	-0.007	0.239
60	866.7	1.135	0.0478	-0.042	0.233
61	872.7	1.145	0.0433	-0.009	0.239
62	878.7	1.162	0.0404	0.003	0.242
63	884.6	1.155	0.0406	0.002	0.242
64	890.7	1.129	0.0444	-0.003	0.239
65	896.6	1.126	0.045	-0.01	0.237
66	902.7	1.137	0.0438	-0.012	0.237
67	908.7	1.149	0.0412	0.001	0.24
68	914.6	1.129	0.0446	-0.008	0.236
69	920.6	1.143	0.0418	0.006	0.24
70	926.6	1.139	0.0417	0.013	0.24
71	932.6	1.141	0.0431	-0.009	0.236
72	938.6	1.124	0.0442	0.003	0.237
73	944.6	1.124	0.0433	0.003	0.238
94	955.4	1.099	0.0476	0.011	0.236
95	963.5	1.088	0.0464	-0.017	0.235
96	971.4	1.134	0.0388	0.036	0.246
97	979.7	1.126	0.0405	-0.053	0.234
98	987.6	1.197	0.0317	0.081	0.255
99	993.7	1.068	0.0539	-0.083	0.22
100	1003.6	1.071	0.0513	-0.061	0.224
101	1013.1	1.074	0.0488	-0.04	0.227
102	1019.5	1.062	0.0484	-0.038	0.229
103	1027.7	1.046	0.0528	-0.078	0.222
104	1035.5	1.046	0.0501	-0.026	0.228
105	1043.6	1.045	0.0561	-0.168	0.21
106	1051.7	1.036	0.0528	-0.066	0.222
107	1059.7	1.013	0.0563	-0.063	0.22
108	1067.8	1.018	0.0567	-0.142	0.211
109	1075.8	1.001	0.0521	-0.046	0.224
110	1083.6	1.002	0.0638	-0.191	0.201
111	1091.8	0.992	0.0627	-0.15	0.206
112	1099.7	0.976	0.0562	-0.068	0.218
113	1107.7	0.959	0.059	-0.071	0.218
114	1115.9	0.987	0.0703	-0.261	0.19
115	1123.8	0.974	0.0501	-0.068	0.221
116	1131.8	0.965	0.0545	-0.144	0.21
117	1139.7	0.948	0.0621	-0.151	0.205
118	1147.8	0.94	0.0578	-0.124	0.211
119	1155.7	0.93	0.0581	-0.126	0.211
120	1163.8	0.929	0.0583	-0.134	0.208
121	1171.8	0.912	0.0534	-0.096	0.217
122	1179.8	0.919	0.0576	-0.148	0.208
123	1187.8	0.905	0.0588	-0.133	0.209
124	1195.8	0.914	0.0549	-0.129	0.211
125	1203.9	0.9	0.0575	-0.15	0.207
126	1211.9	0.897	0.0588	-0.16	0.205
127	1219.8	0.888	0.0645	-0.204	0.198
128	1227.9	0.888	0.0534	-0.119	0.212
129	1235.9	0.886	0.058	-0.18	0.203
130	1244	0.874	0.0546	-0.131	0.211
131	1252	0.877	0.058	-0.221	0.198
132	1259.8	0.865	0.0495	-0.074	0.218
133	1267.8	0.861	0.0626	-0.213	0.195
134	1275.9	0.846	0.0603	-0.146	0.204
135	1284.2	0.853	0.0677	-0.22	0.192
136	1292	0.871	0.0444	-0.067	0.221
137	1299.8	0.84	0.0596	-0.176	0.2
138	1307.8	0.833	0.0651	-0.219	0.194
139	1315.9	0.826	0.0593	-0.164	0.202
140	1323.8	0.825	0.0627	-0.2	0.196
141	1331.8	0.82	0.0615	-0.198	0.197
142	1339.8	0.817	0.06	-0.192	0.198
143	1347.8	0.806	0.0585	-0.159	0.203
144	1355.8	0.81	0.0654	-0.243	0.189
145	1363.8	0.804	0.0587	-0.184	0.199
146	1371.8	0.804	0.062	-0.223	0.192
147	1379.8	0.8	0.0585	-0.196	0.197
148	1387.8	0.794	0.0622	-0.228	0.191
149	1395.9	0.786	0.0583	-0.183	0.198
150	1403.8	0.783	0.0589	-0.186	0.197
151	1411.8	0.785	0.0607	-0.233	0.191
152	1419.8	0.78	0.0593	-0.217	0.193
153	1427.9	0.776	0.0654	-0.267	0.186
154	1435.7	0.767	0.0625	-0.205	0.193
155	1443.8	0.757	0.0663	-0.214	0.192
156	1451.9	0.791	0.0731	-0.375	0.166
157	1459.8	0.747	0.0676	-0.202	0.193
158	1467.8	0.758	0.0616	-0.205	0.192
159	1475.8	0.757	0.0635	-0.239	0.188
160	1483.9	0.754	0.0721	-0.278	0.179
161	1491.8	0.749	0.0569	-0.174	0.197
162	1499.8	0.742	0.0657	-0.251	0.185
163	1507.8	0.733	0.0677	-0.216	0.188
164	1515.7	0.732	0.0602	-0.199	0.192
165	1523.8	0.726	0.0694	-0.25	0.183
166	1531.7	0.719	0.0722	-0.24	0.182
167	1539.7	0.728	0.0736	-0.307	0.174
168	1547.7	0.714	0.0667	-0.22	0.186
169	1555.5	0.713	0.0648	-0.22	0.187
170	1563.7	0.71	0.0625	-0.211	0.189
171	1571.7	0.709	0.0665	-0.229	0.184
172	1579.6	0.71	0.0742	-0.261	0.176
173	1587.7	0.706	0.0726	-0.269	0.177
174	1595.7	0.707	0.0783	-0.274	0.173
175	1603.7	0.699	0.0621	-0.157	0.192
176	1611.7	0.704	0.07	-0.235	0.18
177	1620.1	0.706	0.0809	-0.227	0.176
178	1628.1	0.702	0.0782	-0.209	0.179
179	1636.1	0.713	0.0637	-0.184	0.187
180	1644.2	0.71	0.0732	-0.206	0.18
186	1709.8	0.93877	0.0732	-0.206	0.1690165
187	1717.6	0.86061	0.0732	-0.206	0.176895
188	1725.6	0.952445	0.0732	-0.206	0.1591575
189	1733.7	0.88166	0.0732	-0.206	0.167245
190	1742	0.892895	0.0732	-0.206	0.166194
191	1749.7	0.836485	0.0732	-0.206	0.17207
192	1757.7	0.848445	0.0732	-0.206	0.1721045
193	1766.3	0.840905	0.0732	-0.206	0.1696495
194	1773.6	0.829525	0.0732	-0.206	0.170545
195	1782.2	0.839885	0.0732	-0.206	0.1700295
196	1789.8	0.86116	0.0732	-0.206	0.1647575
197	1797.6	0.86034	0.0732	-0.206	0.164007
198	1805.8	0.87517	0.0732	-0.206	0.156771
199	1813.7	0.83677	0.0732	-0.206	0.163289
200	1822	0.82839	0.0732	-0.206	0.1660395
201	1830	0.832925	0.0732	-0.206	0.1647265
202	1837.6	0.82216	0.0732	-0.206	0.1653855
203	1845.6	0.841125	0.0732	-0.206	0.1610415
204	1853.7	0.828445	0.0732	-0.206	0.1652145
205	1861.8	0.83498	0.0732	-0.206	0.1646725
206	1870.1	0.835815	0.0732	-0.206	0.1639285
207	1877.3	0.83355	0.0732	-0.206	0.1643545
208	1885.7	0.834675	0.0732	-0.206	0.1626985
209	1893.7	0.816175	0.0732	-0.206	0.165459
